,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,TrialNumber,distance,prediction,label,is_test,SubjectNr,TrialNumber,Block,Score
87,80,5,0.197858158,32.10732558,68.36,6.666666667,8,1.7119666669999998,2.2665,0.96605,1.0343,2,114,-0.8053623134063818,Accuracy,Speed,FALSE,102,114,2,0.083
88,80,5,0.197858158,32.5389521,104.24,5.0,6,1.59155,1.8506,1.2162,1.7851,3,115,0.5093443781239785,Speed,Speed,FALSE,102,115,2,0.018
89,80,5,0.197858158,27.43390476,69.2,5.0,6,1.549825,1.7892,0.988066667,1.0333,3,116,-1.3447638985714376,Accuracy,Speed,FALSE,102,116,2,0.048
90,80,5,0.197858158,24.67424138,55.97,4.0,9,1.13236,2.2276,0.812475,1.3093,4,117,-0.6912034321267834,Accuracy,Speed,FALSE,102,117,3,0.051
91,80,5,0.197858158,43.53866906,93.51,6.666666667,9,1.829566667,2.6442,1.13765,1.2409,2,118,0.41020553540900784,Speed,Speed,FALSE,102,118,3,0.049
92,80,5,0.197858158,42.77890977,109.97,6.666666667,8,1.808033333,2.2069,1.0338,1.3081,2,119,0.8091607018642916,Speed,Speed,FALSE,102,119,3,0.03
93,80,5,0.197858158,38.99874598,94.83,6.666666667,9,2.082833333,2.2115,1.13775,1.1726,2,120,0.4448575360137538,Speed,Speed,FALSE,102,120,3,0.013
94,80,5,0.197858158,55.54358362,124.97,6.666666667,9,1.7694666669999999,2.1944,1.9241,2.2649,2,121,0.3525768535855117,Speed,Speed,FALSE,102,121,3,-0.04
95,80,5,0.197858158,31.39408907,90.06,10.0,12,2.6507,2.8634,0.8988,0.8988,1,122,0.7513043148254331,Speed,Speed,FALSE,102,122,4,0.103
96,80,5,0.197858158,45.73546243,100.06,5.0,7,1.59865,1.9545,1.4464,1.7201,3,123,-0.4824470910887614,Accuracy,Speed,FALSE,102,123,4,-0.019
97,80,5,0.197858158,70.90213058,140.87,6.666666667,10,1.8033,2.3325,1.7121,2.8697,2,124,2.1247757841628907,Speed,Speed,FALSE,102,124,4,-0.188
98,80,5,0.197858158,42.01970213,102.62,10.0,10,2.40065,2.7951,1.4455,1.4455,1,125,0.9409177010138473,Speed,Speed,FALSE,102,125,4,0.082
99,80,5,0.197858158,26.45233962,63.39,6.666666667,13,1.8194,2.7422,0.7609999999999999,0.966,2,126,0.5075150258362792,Speed,Speed,FALSE,102,126,4,0.095
100,120,3,0.197858158,24.77660633,54.63,10.0,11,2.4284,2.7512,0.2988,0.2988,1,17,-1.5787747741618943,Accuracy,Speed,FALSE,102,17,1,0.135
101,120,3,0.197858158,57.36366366,95.24,5.0,11,1.62395,3.0993,1.124533333,2.6302,3,18,-0.8414625959488985,Accuracy,Speed,FALSE,102,18,1,0.029
102,120,3,0.197858158,18.3484965,44.46,6.666666667,10,1.8638,2.7704,1.3569,1.6129,2,19,-1.4889917160768475,Accuracy,Speed,FALSE,102,19,1,0.05
103,120,3,0.197858158,22.81053279,43.78,6.666666667,11,1.593766667,2.4435,1.06635,1.3223,2,20,-1.4469803908955199,Accuracy,Speed,FALSE,102,20,1,0.097
104,120,3,0.197858158,31.34197101,77.74,5.0,12,1.74355,2.8723,0.907166667,1.248,3,21,-0.8247526314406967,Accuracy,Speed,FALSE,102,21,1,0.021
105,120,3,0.197858158,29.75182222,61.7,10.0,20,2.50535,4.4245,0.4437,0.4437,1,22,2.0796814463312416,Speed,Speed,FALSE,102,22,2,0.136
106,120,3,0.197858158,26.15048035,43.78,10.0,20,2.51415,4.7175,0.3718,0.3718,1,23,1.0001706332102942,Speed,Speed,TRUE,102,23,2,0.127
107,120,3,0.197858158,32.23863248,75.77,10.0,20,2.5884,4.891,0.371,0.371,1,24,2.013747707241882,Speed,Speed,FALSE,102,24,2,0.133
108,120,3,0.197858158,53.72697674,101.75,10.0,20,3.3916,6.3475,0.444,0.444,1,25,2.5781588583999278,Speed,Speed,FALSE,102,25,2,0.07
109,120,3,0.197858158,26.00153509,57.61,10.0,20,2.3002,4.3147,1.5395,1.5395,1,26,2.3851949029152366,Speed,Speed,FALSE,102,26,2,0.116
110,120,3,0.197858158,27.35308271,54.51,10.0,20,2.9789999999999996,5.6469,0.2979,0.2979,1,27,2.0683633040890954,Speed,Speed,FALSE,102,27,3,0.093
