TrialNumber,PayOffFunction,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter
21,Speed,120,3,0.197858158,31.34197101,77.74,5,12,1.74355,2.8723,0.907166667,1.248,3
22,Speed,120,3,0.197858158,29.75182222,61.7,10,20,2.50535,4.4245,0.4437,0.4437,1
23,Speed,120,3,0.197858158,26.15048035,43.78,10,20,2.51415,4.7175,0.3718,0.3718,1
24,Speed,120,3,0.197858158,32.23863248,75.77,10,20,2.5884,4.891,0.371,0.371,1
25,Speed,120,3,0.197858158,53.72697674,101.75,10,20,3.3916,6.3475,0.444,0.444,1
26,Speed,120,3,0.197858158,26.00153509,57.61,10,20,2.3002,4.3147,1.5395,1.5395,1
27,Speed,120,3,0.197858158,27.35308271,54.51,10,20,2.979,5.6469,0.2979,0.2979,1
28,Speed,120,3,0.197858158,43.97604255,76.09,10,20,2.6031,4.8698,0.2982,0.2982,1
29,Speed,120,3,0.197858158,26.32139831,73.06,10,20,2.6028,4.8944,0.3727,0.3727,1
30,Speed,120,3,0.197858158,24.74269962,49.16,5,16,1.40415,3.4541,0.3234,0.4454,3
31,Speed,120,3,0.197858158,37.399875,63.67,10,20,2.7862,5.1612,0.226,0.226,1
32,Speed,120,3,0.197858158,36.52692857,64.29,10,20,3.16465,5.9932,0.2986,0.2986,1
33,Speed,120,3,0.197858158,28.28171875,60.99,5,18,1.3409,3.6332,0.395933333,0.736,3
34,Speed,120,3,0.197858158,27.65506122,63.89,10,20,2.72875,5.1972,0.2266,0.2266,1
35,Speed,120,3,0.197858158,46.16292969,85.96,6.666666667,20,1.852333333,4.8148,0.4079,0.5901,2
36,Speed,120,3,0.197858158,32.76746988,66.98,10,20,2.76305,5.215,0.372,0.372,1
47,Speed,80,3,0.197858158,14.27665025,33.73,20,20,4.573,4.573,0,0,0
48,Speed,80,3,0.197858158,23.64095477,53.16,20,20,4.47,4.47,0,0,0
49,Speed,80,3,0.197858158,65.09880952,102.61,20,20,6.1079,6.1079,0,0,0
50,Speed,80,3,0.197858158,36.36977987,70.11,4,20,1.3843,4.8439,0.23,0.3505,4
51,Speed,80,3,0.197858158,61.81260331,100.3,10,20,2.70115,5.0917,0.1445,0.1445,1
52,Speed,80,3,0.197858158,36.94613636,71.26,20,20,4.9955,4.9955,0,0,0
53,Speed,80,3,0.197858158,22.67019685,76.4,20,20,5.8219,5.8219,0,0,0
54,Speed,80,3,0.197858158,42.89034146,66.75,20,20,4.6201,4.6201,0,0,0
55,Speed,80,3,0.197858158,30.31962264,67.98,20,20,4.7749,4.7749,0,0,0
56,Speed,80,3,0.197858158,75.77106977,126.39,20,20,5.0981,5.0981,0,0,0
57,Speed,80,3,0.197858158,23.98241525,51.2,10,20,2.6255,4.8658,0.2809,0.2809,1
