,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,distance,PayOffFunction,TrialNumber,prediction,is_test
1446,80,3,0.403017105,34.38859615,76.41,5.0,7,2.6207,3.679,1.7419666669999998,1.9929,3,0.20838789008352432,Accuracy,113,Speed,False
979,80,3,0.387901155,35.97485337,120.29,4.0,7,1.8632799999999998,3.5778,4.817225,7.4689,4,-0.9998754572929422,Accuracy,126,Accuracy,False
1238,80,3,0.223630789,35.22634877,70.35,6.666666667,7,2.389433333,2.502,1.88925,2.0617,2,-1.4176307774896841,Accuracy,35,Accuracy,False
1800,80,3,0.226100263,41.54570866,79.11,10.0,16,2.78895,3.9533,0.5563,0.5563,1,1.306253471452215,Accuracy,47,Speed,False
1695,80,3,0.258833158,20.62813333,50.17,10.0,11,2.37825,3.0272,0.8293,0.8293,1,-0.6272520596258122,Accuracy,122,Accuracy,False
1817,80,3,0.226100263,17.96806306,43.23,10.0,11,2.26305,2.4604,1.3086,1.3086,1,-1.8840676551557909,Accuracy,64,Accuracy,False
633,120,3,0.264108158,47.94864469,80.31,20.0,20,6.3211,6.3211,0.0,0.0,0,1.10562519415034,Speed,90,Speed,False
763,120,3,0.18430421100000002,59.85301887,85.67,20.0,20,4.7321,4.7321,0.0,0.0,0,-0.32191362378807664,Speed,50,Accuracy,False
427,120,3,0.38419394700000004,40.75223958,129.57,10.0,12,4.11485,4.7931,2.4168,2.4168,1,0.9995742028273122,Speed,24,Speed,False
834,120,3,0.39416947399999996,35.08520833,72.62,10.0,14,4.97615,6.7332,0.8106,0.8106,1,1.3912986228562243,Speed,31,Speed,False
895,120,3,0.382399459,40.00906,110.21,5.0,8,2.5096,3.826,1.781466667,2.048,3,-0.590927801950623,Speed,122,Accuracy,False
74,120,3,0.308553684,24.10480712,54.36,6.666666667,12,2.395233333,4.1629,0.88185,1.1745,2,-0.5182297795879283,Speed,91,Accuracy,False
704,120,3,0.184142105,39.90862069,62.73,20.0,20,4.5472,4.5472,0.0,0.0,0,1.0094502296257613,Speed,81,Speed,False
623,120,3,0.264108158,17.44709544,46.47,20.0,20,5.522,5.522,0.0,0.0,0,1.0534713487936056,Speed,80,Speed,False
72,120,3,0.308553684,28.46013986,66.87,10.0,11,3.0267,3.4113,1.6103,1.6103,1,-0.8624804136490756,Speed,89,Accuracy,False
