,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow,PayOffFunction,d
1852,120,5,0.289582368421053,120.22,11,1,2.96315,Accuracy,0.6396166370482064
533,120,3,0.28634421052631603,86.24,8,3,1.903275,Speed,-1.7342526034976942
60,120,3,0.30855368421052604,95.38,11,1,3.1282,Speed,-0.19505132895439203
611,80,5,0.264108157894737,105.51,8,2,2.2714666666666696,Speed,0.35289184444398813
278,80,5,0.469810526315789,124.42,5,7,1.7813,Speed,0.3130134065226997
1398,120,3,0.44272789473684204,65.98,10,3,2.959925,Accuracy,-0.37152994130748596
1883,120,3,0.289582368421053,71.1,10,1,3.02545,Accuracy,-0.9270110135316969
1796,120,3,0.22610026315789497,56.55,11,1,2.61405,Accuracy,-1.1123501765455472
1396,120,3,0.44272789473684204,90.63,9,2,3.8475,Accuracy,-0.1910709808930875
644,80,3,0.184142105263158,72.6,20,0,4.0489,Speed,3.6456797168880115
757,80,3,0.18430421052631601,154.87,20,0,5.2582,Speed,4.977625939086906
159,120,5,0.197858157894737,113.51,20,1,2.51715,Speed,3.2035258486516653
168,120,5,0.39388921052631604,117.89,7,4,1.7554599999999998,Speed,-0.6582958127605849
206,120,3,0.39388921052631604,81.32,15,2,3.06096666666667,Speed,1.3571755222451287
620,120,3,0.264108157894737,46.73,20,0,5.3999,Speed,2.857283347425877
47,80,5,0.30855368421052604,70.6,6,4,1.3041399999999999,Speed,-0.8134540038213487
56,80,5,0.30855368421052604,101.03,5,7,1.09925,Speed,-0.768541080679384
1699,80,3,0.258833157894737,60.27,11,2,1.7377333333333302,Accuracy,0.015428708496514787
1662,80,3,0.211221578947368,55.75,7,3,1.17015,Accuracy,-1.742097128115816
1429,120,5,0.44272789473684204,74.18,7,4,1.69428,Accuracy,-1.0055417378084854
1216,120,5,0.22363078947368398,92.46,8,2,2.1628333333333303,Accuracy,-1.1820007870615115
1377,80,5,0.44272789473684204,95.42,4,8,1.3166,Accuracy,-0.5821844290972109
1903,80,5,0.289582368421053,74.58,9,2,2.03663333333333,Accuracy,0.36122611686867856
794,80,5,0.18430421052631601,81.22,13,1,2.6299,Speed,1.5833650384679316
84,80,5,0.197858157894737,114.09,13,2,1.5925666666666698,Speed,1.7315529422280491
242,120,3,0.469810526315789,68.67,20,0,9.6043,Speed,5.1695419047259605
438,120,3,0.38419394736842105,57.47,11,1,4.367,Speed,0.024446059885562477
298,120,5,0.469810526315789,92.45,5,5,2.64535,Speed,-1.0596621800273311
475,120,5,0.38419394736842105,103.34,12,1,3.3525,Speed,1.2605294990002989
1543,80,3,0.4514504970760229,113.05,20,0,8.6487,Accuracy,6.52425346311928
1414,80,3,0.44272789473684204,68.67,5,5,1.68395,Accuracy,-1.200350177625765
1492,80,5,0.4030171052631579,114.85,4,6,1.74717142857143,Accuracy,-0.43712053157516095
1908,80,5,0.289582368421053,133.75,9,2,2.3455,Accuracy,1.1463799201824116
950,80,3,0.38239945906432704,80.24,7,3,2.466125,Speed,-0.4221798317507961
851,80,3,0.394169473684211,65.91,11,1,4.90685,Speed,1.524765073461353
1711,120,5,0.258833157894737,86.81,9,4,1.19134,Accuracy,-1.00263572420819
1194,120,5,0.27560500000000004,95.98,11,1,3.1406,Accuracy,0.35945734980622035
1758,120,3,0.258833157894737,60.75,9,3,1.56025,Accuracy,-1.8925580138661786
1150,120,3,0.27560500000000004,42.53,13,1,2.8129,Accuracy,-0.3375300920947808
941,80,3,0.38239945906432704,41.04,8,3,2.24645,Speed,-0.6002994409414129
942,80,3,0.38239945906432704,68.83,9,3,2.1913,Speed,0.05359753032961123
162,120,5,0.39388921052631604,121.01,7,4,2.00126,Speed,-0.5463604721649205
30,120,5,0.30855368421052604,89.87,11,2,2.5016333333333303,Speed,0.24741573762138103
42,80,5,0.30855368421052604,91.42,7,5,1.10921666666667,Speed,-0.2506272912783203
907,80,5,0.38239945906432704,79.29,9,3,2.648425,Speed,0.982209063216473
1475,120,5,0.4030171052631579,119.91,7,3,2.522775,Accuracy,-0.39819939388554815
1193,120,5,0.27560500000000004,76.82,8,2,1.8948,Accuracy,-1.2537250639347945
1761,80,5,0.22610026315789497,110.49,5,3,1.516325,Accuracy,-0.96910701647586
1133,80,5,0.27560500000000004,64.61,3,6,0.7654142857142858,Accuracy,-2.1449234275846862
706,120,3,0.184142105263158,32.25,20,0,4.398,Speed,2.0833776698068363
435,120,3,0.38419394736842105,130.45,12,1,4.49325,Speed,1.261243455862754
1105,80,3,0.25489235380117004,74.02,5,5,0.9985,Accuracy,-2.0464347730799233
1681,80,3,0.258833157894737,62.65,6,3,1.457375,Accuracy,-1.7431203705696277
1384,120,3,0.44272789473684204,75.66,7,5,2.2045666666666697,Accuracy,-1.4643713429163796
1614,120,3,0.211221578947368,52.27,11,1,2.26785,Accuracy,-1.3239490789187727
767,120,3,0.18430421052631601,95.84,20,0,4.5512,Speed,2.872854260401695
897,120,3,0.38239945906432704,71.47,15,2,3.2196,Speed,1.2483381594879432
971,80,3,0.38790115497076,56.98,6,3,2.484,Accuracy,-1.0142490056228013
1674,80,3,0.211221578947368,63.69,5,3,1.10435,Accuracy,-2.363034491200338
1312,80,5,0.404969736842105,68.22,3,8,0.6102666666666671,Accuracy,-1.6034973428090922
1904,80,5,0.289582368421053,108.39,9,2,2.42763333333333,Accuracy,0.8757908395141243
597,120,5,0.264108157894737,161.99,10,2,2.96356666666667,Speed,0.7188840256944644
670,120,5,0.184142105263158,99.9,13,2,1.8868333333333303,Speed,0.40660469600105387
1853,120,5,0.289582368421053,133.97,10,2,2.4286333333333303,Accuracy,0.322267974517203
994,120,5,0.38790115497076,122.51,8,2,3.241,Accuracy,0.11017536700227026
1518,120,3,0.4030171052631579,108.3,13,1,4.46405,Accuracy,1.4104844686748805
1031,120,3,0.38790115497076,73.42,9,3,2.3266,Accuracy,-1.0297344348860094
417,80,5,0.38419394736842105,179.52,9,2,2.1124,Speed,1.960158566647337
272,80,5,0.469810526315789,133.66,6,5,2.95865,Speed,1.062910971516871
398,80,3,0.316916315789474,78.03,6,4,1.6648,Speed,-1.2509823857458429
854,80,3,0.394169473684211,111.41,10,2,3.88416666666667,Speed,1.4277633172400641
58,80,5,0.30855368421052604,89.5,6,5,1.28375,Speed,-0.5660553731345459
415,80,5,0.38419394736842105,69.57,14,1,2.9679,Speed,2.6406316165170978
881,120,3,0.38239945906432704,41.91,14,2,2.56956666666667,Speed,0.35707522769506284
215,120,3,0.39388921052631604,86.85,12,2,3.344,Speed,0.46866036994605054
974,80,3,0.38790115497076,58.83,7,3,2.540775,Accuracy,-0.6285513132666125
972,80,3,0.38790115497076,76.53,6,3,2.5472,Accuracy,-0.7667708121066568
1310,80,5,0.404969736842105,79.83,4,7,0.7427375,Accuracy,-1.1138758009970076
1129,80,5,0.27560500000000004,85.29,3,6,0.9873142857142858,Accuracy,-1.8354914773867819
1834,120,5,0.22610026315789497,124.93,9,2,2.3213333333333304,Accuracy,-0.39867660962637785
1823,120,5,0.22610026315789497,90.58,12,1,2.3901,Accuracy,0.2285703775355472
0,80,3,0.30855368421052604,76.66,6,3,2.07905,Speed,-1.2039159897017413
12,80,3,0.30855368421052604,73.51,12,1,2.76335,Speed,0.9832679697369571
1040,120,3,0.25489235380117004,59.37,8,3,1.436175,Accuracy,-2.308096554631007
1889,120,3,0.289582368421053,69.41,9,2,3.10863333333333,Accuracy,-1.234638068045129
295,120,5,0.469810526315789,153.14,11,3,2.643425,Speed,1.6613385107425387
666,120,5,0.184142105263158,61.46,13,1,2.439,Speed,0.09469404964464445
1595,80,5,0.4514504970760229,76.02,3,19,0.512000000000001,Accuracy,-1.0049134816276961
1582,80,5,0.4514504970760229,87.58,3,9,1.10765,Accuracy,-1.0189258720115646
1246,120,3,0.22363078947368398,32.61,10,1,2.53875,Accuracy,-1.7706006517460224
1046,120,3,0.25489235380117004,46.89,8,3,1.5546,Accuracy,-2.417284116431361
436,120,3,0.38419394736842105,48.67,12,1,4.2539,Speed,0.2337025958927228
219,120,3,0.39388921052631604,87.1,20,1,4.07195,Speed,3.4354502291766806
723,120,5,0.18430421052631601,46.1,20,0,4.0459,Speed,2.8034438166155127
586,120,5,0.264108157894737,155.39,12,1,3.2514,Speed,1.3904966750064744
1322,120,5,0.404969736842105,108.84,8,5,1.20913333333333,Accuracy,-0.5107378909656433
1526,120,5,0.4514504970760229,82.08,5,8,1.06405555555556,Accuracy,-1.6352323707601641
682,80,5,0.184142105263158,101.76,14,1,2.3642,Speed,2.0873800935600997
404,80,5,0.38419394736842105,163.04,7,3,1.635325,Speed,0.9611540211712821
3,80,3,0.30855368421052604,71.33,11,1,3.28685,Speed,0.7720521274836614
754,80,3,0.18430421052631601,50.09,10,1,2.8402,Speed,-0.4212588337018275
1804,80,3,0.22610026315789497,107.29,12,1,2.7764,Accuracy,1.0750024267849625
1661,80,3,0.211221578947368,64.25,7,3,1.1259,Accuracy,-1.656541595226841
