;Radius;Noise;IKINumber;MeanDeviation;MaxDeviation;MeanNrDigits;MaxNrDigits;MeanTimeTypingWindow;MaxTimeTypingWindow;MeanTrackingTime;MaxTrackingTime;TrackingWindowVisitCounter;TrialNumber;distance;prediction;label;is_test;SubjectNr;TrialNumber;Block;Score
45;80;5;0.308553684;2.862.122;96.93;2.857.142.857;6;11.327.714.290.000.000;2.05;17.426.166.669.999.900;24.035;6;52;0.9997592891292962;Speed;Speed;FALSE;101;52;2;-0.003
46;80;5;0.308553684;3.055.283.753;99.16;3.333.333.333;4;12.542;15.702;147.296;1.855;5;53;-0.2599074746249256;Accuracy;Speed;FALSE;101;53;2;-0.002
47;80;5;0.308553684;2.209.859.079;70.6;4.0;6;13.041.399.999.999.900;19.942;1.461.425;18.521;4;54;-1.482.189.948.835.390;Accuracy;Speed;FALSE;101;54;2;0.027
48;80;5;0.308553684;3.377.066.986;77.93;3.333.333.333;5;12.339;17.728;12.673;13.785;5;55;-10.212.402.533.462.500;Accuracy;Speed;FALSE;101;55;2;0.01
49;80;5;0.308553684;2.965.987.342;89.73;2.857.142.857;5;1.136.414.286;16.404;14.229;16.509;6;56;-0.35078191671117176;Accuracy;Speed;FALSE;101;56;2;0.008
50;80;5;0.308553684;2.834.131.367;93.29;3.333.333.333;5;1.0;15.728;143.108;17.881;5;57;-0.21481686407119527;Accuracy;Speed;FALSE;101;57;3;0.014
51;80;5;0.308553684;2.697.818.697;82.46;4.0;6;12.454;13.246;129.235;15.828;4;58;-13.639.440.351.398.800;Accuracy;Speed;FALSE;101;58;3;0.013
52;80;5;0.308553684;3.401.541.463;95.96;3.333.333.333;6;1.150.916.667;18.556;143.206;18.569;5;59;0.1228683906455258;Speed;Speed;FALSE;101;59;3;-0.012
53;80;5;0.308553684;3.940.664.269;106.39;2.857.142.857;6;0.958357143;17.022;14.343;19.238;6;60;-0.12613862453891656;Accuracy;Speed;FALSE;101;60;3;-0.033
54;80;5;0.308553684;2.927.591.346;89.19;3.333.333.333;5;117.635;16.230.000.000.000.000;140.386;17.879;5;61;-0.5655283930797766;Accuracy;Speed;FALSE;101;61;3;-0.008
55;80;5;0.308553684;3.283.008.475;80.88;2.857.142.857;5;11.044;16.966;15.474.833.330.000.000;26.082;6;62;-0.9254324925179643;Accuracy;Speed;FALSE;101;62;4;0.009
56;80;5;0.308553684;3.454.858.974;101.03;2.5;5;109.925;17.164;15.727.285.709.999.900;20.605;7;63;-0.09540101164072856;Accuracy;Speed;FALSE;101;63;4;-0.043
57;80;5;0.308553684;2.368.554.702;101.5;2.5;3;10.898.625;15.966;1.346.957.143;20.594;7;64;0.4242704930689337;Speed;Speed;FALSE;101;64;4;-0.035
58;80;5;0.308553684;3.366.191.038;89.5;3.333.333.333;6;128.375;19.684;118.594;14.461;5;65;0.008177171154477691;Speed;Speed;FALSE;101;65;4;0.009
59;80;5;0.308553684;3.618.349.301;100.02;2.857.142.857;4;1.180.342.857;18.975;15.713;26.786;6;66;-0.7593801822035896;Accuracy;Speed;FALSE;101;66;4;-0.043
60;120;3;0.308553684;3.894.838.816;95.38;10.0;11;31.282;36.244;22.640.000.000.000.000;22.640.000.000.000.000;1;77;-1.610.653.254.660.330;Accuracy;Speed;TRUE;101;77;1;0.057
61;120;3;0.308553684;2.561.679.577;58.27;10.0;10;30.778;34.984;11.013;11.013;1;78;-13.424.251.859.180.800;Accuracy;Speed;FALSE;101;78;1;0.079
62;120;3;0.308553684;2.389.654.545;43.4;10.0;12;302.645;31.654;0.8079;0.8079;1;79;-0.9069415064294913;Accuracy;Speed;TRUE;101;79;1;0.098
63;120;3;0.308553684;4.165.507.092;92.59;10.0;12;30.129;37.768;13.931;13.931;1;80;-1.184.302.699.294.370;Accuracy;Speed;FALSE;101;80;1;0.086
64;120;3;0.308553684;2.278.650.456;42.28;10.0;11;372.825;38.695;0.5173;0.5173;1;81;-0.9080752579111161;Accuracy;Speed;FALSE;101;81;1;0.066
65;120;3;0.308553684;2.143.886.544;52.57;10.0;13;42.538;65.112;11.025;11.025;1;82;0.35295161696445254;Speed;Speed;FALSE;101;82;2;0.032
66;120;3;0.308553684;5.791.561.129;121.64;10.0;11;333.965;3.438;21.908;21.908;1;83;-17.967.299.350.722.300;Accuracy;Speed;FALSE;101;83;2;0.06
67;120;3;0.308553684;2.828.966.997;81.64;10.0;11;34.185;38.212;15.385;15.385;1;84;-16.912.209.568.589.000;Accuracy;Speed;FALSE;101;84;2;0.069
68;120;3;0.308553684;2.314.744.118;45.94;10.0;11;3.716;3.717;14.669.999.999.999.900;14.669.999.999.999.900;1;85;-0.7861868136156799;Accuracy;Speed;FALSE;101;85;2;0.051
69;120;3;0.308553684;2.005.379.822;44.96;6.666.666.667;7;22.625.666.669.999.900;24.098;151.235;15.618;2;86;-17.621.174.772.106.400;Accuracy;Speed;FALSE;101;86;2;0.04
70;120;3;0.308553684;2.549.431.298;52.04;10.0;11;2.827;29.372;10.267;10.267;1;87;-13.157.834.310.088.700;Accuracy;Speed;FALSE;101;87;3;0.102
71;120;3;0.308553684;26.912.825.399.999.900;60.76;10.0;11;34.641;35.619;11.726;11.726;1;88;-0.9520896106370257;Accuracy;Speed;FALSE;101;88;3;0.074
72;120;3;0.308553684;2.846.013.986;66.87;10.0;11;30.267;34.113;16.103;16.103;1;89;-1.012.331.922.484.670;Accuracy;Speed;FALSE;101;89;3;0.081
73;120;3;0.308553684;245.920.202;54.16;10.0;13;326.425;37.439;10.291;10.291;1;90;-0.43092621972410805;Accuracy;Speed;FALSE;101;90;3;0.083
74;120;3;0.308553684;2.410.480.712;54.36;6.666.666.667;12;2.395.233.333;41.629;0.88185;11.745;2;91;-0.5299881570828914;Accuracy;Speed;FALSE;101;91;3;0.05
75;120;3;0.308553684;3.212.111.888;66.73;10.0;12;31.507;34.392;0.8803;0.8803;1;92;-10.304.488.601.513.100;Accuracy;Speed;FALSE;101;92;4;0.091
76;120;3;0.308553684;3.475.315.287;74.34;10.0;11;339.335;43.084;13.204;13.204;1;93;-1.030.449.782.443.100;Accuracy;Speed;FALSE;101;93;4;0.043
